region_id,region,anchor_county,county_name
1,Group 1 - Columbus Core,Franklin,Delaware
1,Group 1 - Columbus Core,Franklin,Fairfield
1,Group 1 - Columbus Core,Franklin,Fayette
1,Group 1 - Columbus Core,Franklin,Franklin
1,Group 1 - Columbus Core,Franklin,Pickaway
1,Group 1 - Columbus Core,Franklin,Union
2,Group 2 - Newark / East-Central,Licking,Knox
2,Group 2 - Newark / East-Central,Licking,Licking
2,Group 2 - Newark / East-Central,Licking,Perry
3,Group 3 - Southeast Cluster,Athens,Athens
3,Group 3 - Southeast Cluster,Athens,Hocking
3,Group 3 - Southeast Cluster,Athens,Meigs
3,Group 3 - Southeast Cluster,Athens,Morgan
3,Group 3 - Southeast Cluster,Athens,Vinton
3,Group 3 - Southeast Cluster,Athens,Washington
4,Group 4 - Southern Corridor,Jackson,Gallia
4,Group 4 - Southern Corridor,Jackson,Jackson
4,Group 4 - Southern Corridor,Jackson,Pike
4,Group 4 - Southern Corridor,Jackson,Ross
5,Group 5 - Eastern Edge,Guernsey,Belmont
5,Group 5 - Eastern Edge,Guernsey,Guernsey
5,Group 5 - Eastern Edge,Guernsey,Harrison
5,Group 5 - Eastern Edge,Guernsey,Jefferson
5,Group 5 - Eastern Edge,Guernsey,Monroe
5,Group 5 - Eastern Edge,Guernsey,Noble
